Temperature (K),Luminosity (L0),Radius (R0),Absolute Magnitude,Star Color,Spectral Class,Star Color Strings
8453.068339,19.88888895,1.579155857,1.796918492,6,A,Whitish
9879.504678,21.78698555,1.660499465,1.651049929,5,A,Blue White
9255.466991,10.2486384,1.467800748,1.417565073,5,A,Blue White
8868.407623,15.28476123,1.612579697,1.418231438,4,A,White
8758.69635,13.93548255,1.653520343,2.257434575,4,A,White
9204.691217,11.82422291,1.405638402,1.90595533,5,A,Blue White
7313.577985,21.7828361,1.588148534,2.430321213,5,A,Blue White
9412.792603,24.64985003,1.754530388,2.485425096,6,A,Whitish
9802.520848,17.52929002,1.445611374,1.762367725,4,A,White
7322.398275,8.625503412,1.577016461,1.713984846,5,A,Blue White
9526.496525,7.460340337,1.663819155,1.533567616,5,A,Blue White
9371.806844,16.59937419,1.517909188,1.807538699,4,A,White
9992.269617,11.57071607,1.780147361,1.582776797,5,A,Blue White
7914.663295,10.36372745,1.677714499,1.823870492,6,A,Whitish
9782.763957,16.00478208,1.482722611,1.79113166,4,A,White
9033.398125,8.610337923,1.62190493,1.574529293,4,A,White
7584.364494,18.56983739,1.751711394,1.417143135,4,A,White
8024.034467,6.113769805,1.623143076,1.774035523,5,A,Blue White
9362.378164,5.68114369,1.700933624,1.883575639,4,A,White
9474.87742,10.7303691,1.757960317,1.655405694,4,A,White
7581.483094,6.547800941,1.736737669,2.105861001,6,A,Whitish
8568.348696,23.01144581,1.452342673,1.803866889,6,A,Whitish
7891.467105,21.93211894,1.475661574,1.79457885,4,A,White
9791.311348,12.91396945,1.461455932,2.241279394,6,A,Whitish
8164.871106,8.384305306,1.411560826,2.269445462,4,A,White
9615.368284,13.60904627,1.403633959,2.190140817,5,A,Blue White
8001.586003,13.32436274,1.638580697,2.236569927,6,A,Whitish
9670.769945,19.57526967,1.64361973,1.876584316,6,A,Whitish
7808.322565,13.12947358,1.767569373,1.943977403,5,A,Blue White
9349.823361,24.03614914,1.693429777,2.038437173,5,A,Blue White
7385.56111,23.23970042,1.520458781,1.372486456,6,A,Whitish
9034.315724,24.02828633,1.598229792,1.557095227,6,A,Whitish
8830.551464,11.92002406,1.503265209,2.019656428,5,A,Blue White
8316.305773,10.80488418,1.693141746,1.631199947,5,A,Blue White
7873.880624,22.73401526,1.4467043,2.208709503,4,A,White
9438.823467,9.200615934,1.698416625,1.584036365,4,A,White
7692.697396,7.617530955,1.723915643,1.29938288,5,A,Blue White
8620.684616,15.41031775,1.698093472,1.620702222,4,A,White
7334.683517,23.10925499,1.534857326,1.945456219,5,A,Blue White
7803.852467,13.05060471,1.633729992,2.461343089,6,A,Whitish
8610.122234,9.315225043,1.587580842,2.111405889,5,A,Blue White
9563.210407,6.574789665,1.434906014,2.147351748,6,A,Whitish
7680.853815,23.66119724,1.73148697,1.948786399,4,A,White
9276.985866,17.05743122,1.674377883,1.91669276,6,A,Whitish
9165.880673,12.54984346,1.506930022,2.344655003,4,A,White
7393.130073,18.29862882,1.787793426,1.741373241,4,A,White
8619.914612,20.84380529,1.473509681,1.822583673,6,A,Whitish
9922.754107,11.6698426,1.519976369,1.510306506,5,A,Blue White
7603.618724,18.85317729,1.564473956,2.196591454,5,A,Blue White
9306.67719,9.076313543,1.494595675,1.933365035,4,A,White
9024.061703,24.17427192,1.478022129,1.696735241,4,A,White
8904.293865,19.23664913,1.682151712,2.126247237,4,A,White
8646.280784,8.338131842,1.472219301,1.386528121,4,A,White
8833.20218,13.85554346,1.608933167,1.258263457,4,A,White
8451.561479,17.65987137,1.518468729,1.9966276,4,A,White
7505.846494,23.59934343,1.585112755,2.073970083,6,A,Whitish
8084.583964,15.58661939,1.770092967,1.975008038,6,A,Whitish
8815.604628,17.52948848,1.486355657,2.387439513,4,A,White
